,exercise,sets,reps,weight_lbs,datetime,duration_minutes
0,Clean&Jerk,3,7,65,7/24/2018,
1,BenchPress,3,7,65,7/24/2018,
2,ShoulderPress,2,7,65,7/25/2018,
3,ShoulderPress,1,10,65,7/25/2018,
4,BackSquat,3,5,65,7/23/2018,
5,BenchPress,2,7,65,7/28/2018,
6,BenchPress,1,8,65,7/28/2018,
7,Clean&Jerk,2,7,65,7/28/2018,
8,FrontSquat,3,7,45,7/29/2018,
9,OverheadSquat,3,3,45,7/29/2018,
10,Deadlift,3,7,95,8/1/2018,
11,ShoulderPress,3,7,65,8/1/2018,
12,Snatch,3,7,65,8/1/2018,
13,FrontSquat,1,6,65,8/4/2018,50.0
14,FrontSquat,1,6,75,8/4/2018,50.0
15,FrontSquat,1,6,85,8/4/2018,50.0
16,ShoulderPress,1,8,65,8/4/2018,50.0
17,ShoulderPress,1,7,75,8/4/2018,50.0
18,ShoulderPress,1,5,85,8/4/2018,50.0
19,BenchPress,3,8,85,8/4/2018,50.0
20,Deadlift,1,8,75,8/5/2018,
21,Deadlift,1,8,95,8/5/2018,
22,Deadlift,1,8,110,8/5/2018,
23,BackSquat,3,7,95,8/7/2018,
24,ShoulderPress,3,7,75,8/11/2018,
25,BackSquat,3,7,115,8/11/2018,
26,Deadlift,3,5,115,8/12/2018,
27,FrontSquat,3,5,95,8/14/2018,
28,BenchPress,3,5,115,8/14/2018,
29,OverheadSquat,3,5,45,8/14/2018,
30,Clean&Jerk,3,5,45,8/15/2018,
31,Snatch,3,5,45,8/15/2018,
32,BackSquat,3,7,135,8/18/2018,55.0
33,ShoulderPress,1,7,75,8/18/2018,55.0
34,ShoulderPress,1,7,85,8/18/2018,55.0
35,ShoulderPress,1,7,95,8/18/2018,55.0
36,Deadlift,3,7,135,8/19/2018,60.0
37,FrontSquat,3,5,95,8/20/2018,
38,BenchPress,3,5,135,8/20/2018,
39,ShoulderPress,3,5,65,8/21/2018,
40,BackSquat,3,7,155,8/25/2018,
41,ShoulderPress,3,7,90,8/25/2018,
42,Deadlift,3,5,155,8/26/2018,
43,FrontSquat,3,5,95,8/27/2018,
44,BenchPress,3,5,135,8/27/2018,
45,Clean&Jerk,3,3,95,8/28/2018,
46,BackSquat,3,5,135,9/1/2018,
47,ShoulderPress,3,5,85,9/1/2018,
48,Deadlift,3,5,135,9/2/2018,
49,OverheadSquat,3,5,45,9/3/2018,
50,FrontSquat,3,5,95,9/4/2018,
51,BenchPress,3,5,125,9/4/2018,
52,OverheadSquat,3,5,45,9/4/2018,
53,Deadlift,2,5,185,9/8/2018,
54,Deadlift,1,5,205,9/8/2018,
55,OverheadSquat,1,5,45,9/8/2018,
56,OverheadSquat,1,5,55,9/8/2018,
57,OverheadSquat,1,5,65,9/8/2018,
58,BackSquat,1,5,205,9/9/2018,
59,BackSquat,2,6,205,9/9/2018,
60,ShoulderPress,2,4,115,9/9/2018,
61,ShoulderPress,1,5,115,9/9/2018,
62,OverheadSquat,3,5,45,9/10/2018,
63,FrontSquat,1,5,115,9/11/2018,
64,FrontSquat,1,5,125,9/11/2018,
65,FrontSquat,1,8,115,9/11/2018,
66,BenchPress,2,5,135,9/11/2018,
67,BenchPress,1,4,155,9/11/2018,
68,BenchPress,1,3,125,9/15/2018,
69,BenchPress,1,3,155,9/15/2018,
70,BenchPress,1,3,175,9/15/2018,
71,OverheadSquat,3,3,65,9/15/2018,
72,ShoulderPress,3,3,95,9/16/2018,
73,FrontSquat,3,3,95,9/16/2018,
74,Snatch,3,1,65,9/17/2018,
75,BackSquat,3,3,165,9/18/2018,
76,Deadlift,3,3,95,9/18/2018,
77,OverheadSquat,3,4,75,9/29/2018,
78,BackSquat,3,4,175,9/30/2018,
79,Deadlift,3,4,85,9/30/2018,
80,Snatch,4,1,65,10/1/2018,
81,BenchPress,4,3,135,10/6/2018,
82,OverheadSquat,4,3,85,10/6/2018,
83,ShoulderPress,4,3,85,10/7/2018,
84,FrontSquat,4,3,85,10/7/2018,
85,Snatch,4,1,85,10/8/2018,
86,BackSquat,4,3,175,10/9/2018,
87,ShoulderPress,4,3,85,10/9/2018,
88,OverheadSquat,4,3,75,10/10/2018,
89,OverheadSquat,3,3,65,10/27/2018,
90,BackSquat,3,3,155,10/28/2018,
91,ShoulderPress,3,3,85,10/28/2018,
92,Snatch,3,3,65,10/29/2018,
93,Clean&Jerk,3,3,65,10/29/2018,
94,ShoulderPress,3,3,105,11/4/2018,
95,FrontSquat,3,3,105,11/4/2018,
96,BenchPress,3,3,145,11/5/2018,
97,OverheadSquat,1,3,65,11/5/2018,
98,OverheadSquat,1,3,75,11/5/2018,
99,OverheadSquat,1,3,85,11/5/2018,
100,BackSquat,3,3,190,11/10/2018,
101,ShoulderPress,3,3,105,11/10/2018,
102,FrontSquat,3,3,100,11/14/2018,
103,BenchPress,3,3,135,11/13/2018,
104,OverheadSquat,3,3,75,11/13/2018,
105,BackSquat,4,3,205,11/17/2018,
106,ShoulderPress,4,3,105,11/17/2018,
107,BenchPress,4,3,145,11/19/2018,
108,OverheadSquat,4,3,65,11/19/2018,
109,ShoulderPress,4,3,105,11/20/2018,
110,FrontSquat,4,3,105,11/20/2018,
111,FrontSquat,3,3,90,11/24/2018,
112,BenchPress,3,3,125,11/25/2018,
113,OverheadSquat,3,3,75,11/25/2018,
114,BackSquat,3,3,165,11/27/2018,
115,ShoulderPress,3,3,95,11/27/2018,
116,ShoulderPress,3,3,115,12/2/2018,
117,FrontSquat,3,3,115,12/2/2018,
118,BenchPress,3,3,155,12/3/2018,
119,OverheadSquat,3,3,85,12/3/2018,
120,Deadlift,3,3,220,12/4/2018,
121,BackSquat,3,10,45,12/4/2018,
122,BackSquat,3,3,205,12/5/2018,
123,ShoulderPress,3,3,115,12/5/2018,
124,ShoulderPress,3,8,85,12/8/2018,
125,FrontSquat,3,8,85,12/8/2018,
126,BenchPress,3,8,115,12/9/2018,
127,OverheadSquat,3,8,45,12/9/2018,
128,Deadlift,3,8,170,12/10/2018,
129,BackSquat,3,8,145,12/11/2018,
130,ShoulderPress,3,8,85,12/11/2018,
131,BenchPress,1,4,90,12/15/2018,
132,BenchPress,1,3,125,12/15/2018,
133,BenchPress,1,2,160,12/15/2018,
134,BenchPress,1,6,165,12/15/2018,
135,BackSquat,1,4,120,12/15/2018,
136,BackSquat,1,3,165,12/15/2018,
137,BackSquat,1,2,210,12/15/2018,
138,BackSquat,1,7,220,12/15/2018,
139,Deadlift,1,4,130,12/16/2018,
140,Deadlift,1,3,180,12/16/2018,
141,Deadlift,1,2,235,12/16/2018,
142,Deadlift,1,10,240,12/16/2018,
143,Deadlift,1,4,65,12/16/2018,
144,Deadlift,1,3,95,12/16/2018,
145,Deadlift,1,2,120,12/16/2018,
146,Deadlift,1,4,125,12/16/2018,
147,OverheadSquat,1,4,45,12/18/2018,
148,OverheadSquat,1,3,65,12/18/2018,
149,OverheadSquat,1,2,95,12/18/2018,
150,OverheadSquat,1,5,105,12/18/2018,
151,FrontSquat,1,4,65,12/18/2018,
152,FrontSquat,1,3,95,12/18/2018,
153,FrontSquat,1,2,125,12/18/2018,
154,FrontSquat,1,10,135,12/18/2018,
155,Snatch,1,4,45,12/20/2018,
156,Snatch,1,3,65,12/20/2018,
157,Snatch,1,2,75,12/20/2018,
158,Snatch,1,1,95,12/20/2018,
159,Clean&Jerk,1,4,65,12/20/2018,
160,Clean&Jerk,1,3,85,12/20/2018,
161,Clean&Jerk,1,2,105,12/20/2018,
162,Clean&Jerk,1,1,125,12/20/2018,
163,Clean&Jerk,1,1,135,12/20/2018,
164,Clean&Jerk,1,1,145,12/20/2018,
165,BackSquat,3,8,185,1/7/2019,
166,ShoulderPress,3,8,95,1/7/2019,
167,FrontSquat,3,8,115,1/8/2019,
168,BenchPress,3,8,125,1/8/2019,
169,OverheadSquat,3,8,75,1/10/2019,
170,Deadlift,3,8,210,1/10/2019,
171,Snatch,3,8,45,1/10/2019,
172,BackSquat,3,7,185,1/12/2019,
173,ShoulderPress,3,7,100,1/13/2019,
174,OverheadSquat,3,7,75,1/13/2019,
175,FrontSquat,3,7,125,1/14/2019,
176,BenchPress,3,7,135,1/15/2019,
177,Deadlift,3,7,225,1/16/2019,
178,Snatch,1,7,45,1/16/2019,
179,Snatch,1,7,65,1/16/2019,
180,Snatch,1,10,45,1/16/2019,
181,BackSquat,4,5,205,1/19/2019,
182,ShoulderPress,4,5,105,1/20/2019,
183,OverheadSquat,4,5,75,1/20/2019,
184,FrontSquat,4,5,135,1/21/2019,
185,BenchPress,4,5,145,1/22/2019,
186,Deadlift,4,5,245,1/23/2019,
187,Snatch,4,5,45,1/23/2019,
188,BackSquat,5,5,160,1/27/2019,
189,ShoulderPress,5,5,85,1/28/2019,
190,OverheadSquat,2,5,75,1/28/2019,
191,OverheadSquat,3,7,45,1/28/2019,
192,FrontSquat,1,5,105,1/28/2019,
193,FrontSquat,4,5,110,1/28/2019,
194,BenchPress,5,5,120,1/29/2019,
195,Deadlift,5,5,195,1/30/2019,
196,Snatch,2,5,45,1/30/2019,
197,Snatch,1,5,65,1/30/2019,
198,Snatch,1,5,75,1/30/2019,
199,Snatch,1,5,85,1/30/2019,
200,BackSquat,4,5,205,2/2/2019,
201,ShoulderPress,4,5,105,2/3/2019,
202,OverheadSquat,4,5,65,2/3/2019,
203,FrontSquat,4,5,140,2/4/2019,
204,BenchPress,4,5,155,2/5/2019,
205,Snatch,1,5,45,2/6/2019,
206,Snatch,1,5,65,2/6/2019,
207,Snatch,1,5,75,2/6/2019,
208,Snatch,1,5,85,2/6/2019,
209,BackSquat,4,4,215,2/10/2019,60.0
210,ShoulderPress,4,4,115,2/11/2019,90.0
211,OverheadSquat,4,4,75,2/11/2019,90.0
212,FrontSquat,4,4,145,2/12/2019,90.0
213,BenchPress,4,4,160,2019-02-13T19:15:00,
214,Snatch,1,4,65,2/14/2019,
215,Snatch,1,4,75,2/14/2019,
216,Snatch,1,4,85,2/14/2019,
217,Snatch,1,4,95,2/14/2019,
218,Clean&Jerk,1,4,65,2/14/2019,
219,Clean&Jerk,1,4,75,2/14/2019,
220,Clean&Jerk,1,4,85,2/14/2019,
221,Clean&Jerk,1,4,95,2/14/2019,
222,Deadlift,1,4,185,2/14/2019,
223,Deadlift,1,4,205,2/14/2019,
224,Deadlift,1,4,225,2/14/2019,
225,Clean&Jerk,1,4,65,2019-02-16T09:01:00,
226,Clean&Jerk,1,4,75,2019-02-16T09:01:00,
