,exercise,sets,reps,weight_lbs,datetime,duration_minutes
0,Clean&Jerk,3,7,65,2018-07-24 00:00:00,-1.0
1,BenchPress,3,7,65,2018-07-24 00:00:00,-1.0
2,ShoulderPress,2,7,65,2018-07-25 00:00:00,-1.0
3,ShoulderPress,1,10,65,2018-07-25 00:00:00,-1.0
4,BackSquat,3,5,65,2018-07-23 00:00:00,-1.0
5,BenchPress,2,7,65,2018-07-28 00:00:00,-1.0
6,BenchPress,1,8,65,2018-07-28 00:00:00,-1.0
7,Clean&Jerk,2,7,65,2018-07-28 00:00:00,-1.0
8,FrontSquat,3,7,45,2018-07-29 00:00:00,-1.0
9,OverheadSquat,3,3,45,2018-07-29 00:00:00,-1.0
10,Deadlift,3,7,95,2018-08-01 00:00:00,-1.0
11,ShoulderPress,3,7,65,2018-08-01 00:00:00,-1.0
12,Snatch,3,7,65,2018-08-01 00:00:00,-1.0
13,FrontSquat,1,6,65,2018-08-04 00:00:00,50.0
14,FrontSquat,1,6,75,2018-08-04 00:00:00,50.0
15,FrontSquat,1,6,85,2018-08-04 00:00:00,50.0
16,ShoulderPress,1,8,65,2018-08-04 00:00:00,50.0
17,ShoulderPress,1,7,75,2018-08-04 00:00:00,50.0
18,ShoulderPress,1,5,85,2018-08-04 00:00:00,50.0
19,BenchPress,3,8,85,2018-08-04 00:00:00,50.0
20,Deadlift,1,8,75,2018-08-05 00:00:00,-1.0
21,Deadlift,1,8,95,2018-08-05 00:00:00,-1.0
22,Deadlift,1,8,110,2018-08-05 00:00:00,-1.0
23,BackSquat,3,7,95,2018-08-07 00:00:00,-1.0
24,ShoulderPress,3,7,75,2018-08-11 00:00:00,-1.0
25,BackSquat,3,7,115,2018-08-11 00:00:00,-1.0
26,Deadlift,3,5,115,2018-08-12 00:00:00,-1.0
27,FrontSquat,3,5,95,2018-08-14 00:00:00,-1.0
28,BenchPress,3,5,115,2018-08-14 00:00:00,-1.0
29,OverheadSquat,3,5,45,2018-08-14 00:00:00,-1.0
30,Clean&Jerk,3,5,45,2018-08-15 00:00:00,-1.0
31,Snatch,3,5,45,2018-08-15 00:00:00,-1.0
32,BackSquat,3,7,135,2018-08-18 00:00:00,55.0
33,ShoulderPress,1,7,75,2018-08-18 00:00:00,55.0
34,ShoulderPress,1,7,85,2018-08-18 00:00:00,55.0
35,ShoulderPress,1,7,95,2018-08-18 00:00:00,55.0
36,Deadlift,3,7,135,2018-08-19 00:00:00,60.0
37,FrontSquat,3,5,95,2018-08-20 00:00:00,-1.0
38,BenchPress,3,5,135,2018-08-20 00:00:00,-1.0
39,ShoulderPress,3,5,65,2018-08-21 00:00:00,-1.0
40,BackSquat,3,7,155,2018-08-25 00:00:00,-1.0
41,ShoulderPress,3,7,90,2018-08-25 00:00:00,-1.0
42,Deadlift,3,5,155,2018-08-26 00:00:00,-1.0
43,FrontSquat,3,5,95,2018-08-27 00:00:00,-1.0
44,BenchPress,3,5,135,2018-08-27 00:00:00,-1.0
45,Clean&Jerk,3,3,95,2018-08-28 00:00:00,-1.0
46,BackSquat,3,5,135,2018-09-01 00:00:00,-1.0
47,ShoulderPress,3,5,85,2018-09-01 00:00:00,-1.0
48,Deadlift,3,5,135,2018-09-02 00:00:00,-1.0
49,OverheadSquat,3,5,45,2018-09-03 00:00:00,-1.0
50,FrontSquat,3,5,95,2018-09-04 00:00:00,-1.0
51,BenchPress,3,5,125,2018-09-04 00:00:00,-1.0
52,OverheadSquat,3,5,45,2018-09-04 00:00:00,-1.0
53,Deadlift,2,5,185,2018-09-08 00:00:00,-1.0
54,Deadlift,1,5,205,2018-09-08 00:00:00,-1.0
55,OverheadSquat,1,5,45,2018-09-08 00:00:00,-1.0
56,OverheadSquat,1,5,55,2018-09-08 00:00:00,-1.0
57,OverheadSquat,1,5,65,2018-09-08 00:00:00,-1.0
58,BackSquat,1,5,205,2018-09-09 00:00:00,-1.0
59,BackSquat,2,6,205,2018-09-09 00:00:00,-1.0
60,ShoulderPress,2,4,115,2018-09-09 00:00:00,-1.0
61,ShoulderPress,1,5,115,2018-09-09 00:00:00,-1.0
62,OverheadSquat,3,5,45,2018-09-10 00:00:00,-1.0
