exercise,sets,reps,weight_lbs,datetime,duration_minutes
Clean&Jerk,3,7,65,7/24/2018,
BenchPress,3,7,65,7/24/2018,
ShoulderPress,2,7,65,7/25/2018,
ShoulderPress,1,10,65,7/25/2018,
BackSquat,3,5,65,7/23/2018,
BenchPress,2,7,65,7/28/2018,
BenchPress,1,8,65,7/28/2018,
Clean&Jerk,2,7,65,7/28/2018,
FrontSquat,3,7,45,7/29/2018,
OverheadSquat,3,3,45,7/29/2018,
Deadlifts,3,7,95,8/1/2018,
ShoulderPress,3,7,65,8/1/2018,
Snatch,3,7,65,8/1/2018,
FrontSquats,1,6,65,8/4/2018,50
FrontSquats,1,6,75,8/4/2018,50
FrontSquats,1,6,85,8/4/2018,50
ShoulderPress,1,8,65,8/4/2018,50
ShoulderPress,1,7,75,8/4/2018,50
ShoulderPress,1,5,85,8/4/2018,50
BenchPress,3,8,85,8/4/2018,50
Deadlifts,1,8,75,8/5/2018,
Deadlifts,1,8,95,8/5/2018,
Deadlifts,1,8,110,8/5/2018,
BackSquat,3,7,95,8/7/2018,
ShoulderPress,3,7,75,8/11/2018,
BackSquat,3,7,115,8/11/2018,
Deadlifts,3,5,115,8/12/2018,
FrontSquat,3,5,95,8/14/2018,
BenchPress,3,5,115,8/14/2018,
OverheadSquat,3,5,45,8/14/2018,
Clean&Jerk,3,5,45,8/15/2018,
Snatch,3,5,45,8/15/2018,
BackSquat,3,7,135,8/18/2018,55
ShoulderPress,1,7,75,8/18/2018,55
ShoulderPress,1,7,85,8/18/2018,55
ShoulderPress,1,7,95,8/18/2018,55
Deadlift,3,7,135,8/19/2018,60
FrontSquat,3,5,95,8/20/2018,
BenchPress,3,5,135,8/20/2018,
ShoulderPress,3,5,65,8/21/2018,
BackSquat,3,7,155,8/25/2018,
ShoulderPress,3,7,90,8/25/2018,
Deadlift,3,5,155,8/26/2018,
FrontSquat,3,5,95,8/27/2018,
BenchPress,3,5,135,8/27/2018,
Clean&Jerk,3,3,95,8/28/2018,
BackSquat,3,5,135,9/1/2018,
ShoulderPress,3,5,85,9/1/2018,
Deadlift,3,5,135,9/2/2018,
OverheadSquat,3,5,45,9/3/2018,
FrontSquat,3,5,95,9/4/2018,
BenchPress,3,5,125,9/4/2018,
OverheadSquat,3,5,45,9/4/2018,
Deadlift,2,5,185,9/8/2018,
Deadlift,1,5,205,9/8/2018,
OverheadSquat,1,5,45,9/8/2018,
OverheadSquat,1,5,55,9/8/2018,
OverheadSquat,1,5,65,9/8/2018,
BackSquat,1,5,205,9/9/2018,
BackSquat,2,6,205,9/9/2018,
ShoulderPress,2,4,115,9/9/2018,
ShoulderPress,1,5,115,9/9/2018,
OverheadSquat,3,5,45,9/10/2018,
FrontSquat,1,5,115,9/11/2018,
FrontSquat,1,5,125,9/11/2018,
FrontSquat,1,8,115,9/11/2018,
BenchPress,2,5,135,9/11/2018,
BenchPress,1,4,155,9/11/2018,
BenchPress,1,3,125,9/15/2018,
BenchPress,1,3,155,9/15/2018,
